id,GL,BR,Statutory_GL,Statutory_Type,Transaction_Types,headers
711,4706,NULL,704-05,Revenue,"[ICR, INV, XICR, XINV]",[]
712,4707,NULL,704-05,Revenue,"[ICR, INV, XICR, XINV]",[]
713,4708,NULL,628-05,Expense,"[CADJ, CLH, IV, JOV, OUPA, RDCS, XOIP, XOIR]",[]
714,4708,NULL,704-05,Revenue,"[ICR, INV, XICR, XINV]",[]
715,4709,NULL,628-05,Expense,"[CADJ, CLH, IV, JOV, OUPA, RDCS, XOIP, XOIR]",[]
716,4709,NULL,704-05,Revenue,"[ICR, INV, XICR, XINV]",[]
717,4711,NULL,628-05,Expense,"[CADJ, CLH, IV, JOE, JOV, OUPA, RCR, RDCS, RIN, RRD, XOIP, XOIR, XRCR, XRIN, YEND]",[]
718,4712,NULL,628-05,Expense,"[CADJ, CLH, IV, JOE, JOV, OUPA, RCR, RDCS, RIN, RRD, XOIP, XOIR, XRCR, XRIN, YEND]",[]
719,4712,NULL,921-02,Expense,[ES],[]
720,4713,NULL,628-05,Expense,"[CADJ, CLH, IV, JOE, JOV, OUPA, RCR, RDCS, RIN, RRD, XOIP, XOIR, XRCR, XRIN, YEND]",[]
721,4714,NULL,628-05,Expense,"[JOE, RCR, RIN, RRD, XRCR, XRIN, YEND]",[]
722,4715,NULL,628-05,Expense,"[JOE, RCR, RIN, RRD, XRCR, XRIN, YEND]",[]
723,4716,NULL,628-05,Expense,"[JOE, RCR, RIN, RRD, XRCR, XRIN, YEND]",[]
724,4717,NULL,628-05,Expense,"[JOE, RCR, RIN, RRD, XRCR, XRIN, YEND]",[]
725,4718,NULL,628-05,Expense,"[JOE, RCR, RIN, RRD, XRCR, XRIN, YEND]",[]
